Checked At,Status Code,Response Time (ms),Available,Error
2026-04-26T08:56:03.745121,200,59.22068630943773,Yes,
2026-04-26T08:56:03.745121,200,687.6691404639258,Yes,
2026-04-26T08:56:03.745121,404,833.6051058443879,No,Server error
2026-04-26T08:56:03.745121,200,574.1271085878496,Yes,
2026-04-26T08:56:03.745121,200,116.21941305615623,Yes,
2026-04-26T08:56:03.745121,200,366.9072354563381,Yes,
2026-04-26T08:56:03.745121,200,717.2755381397716,Yes,
2026-04-26T08:56:03.745121,200,311.0154007801817,Yes,
2026-04-26T08:56:03.745121,200,137.69777024339706,Yes,
2026-04-26T08:56:03.745121,200,627.035307678884,Yes,
2026-04-26T08:56:03.745121,200,600.215645515727,Yes,
2026-04-26T08:56:03.745121,200,86.15255748063787,Yes,
2026-04-26T08:56:03.745121,500,565.6254032673105,No,Server error
2026-04-26T08:56:03.745121,200,222.50391361845996,Yes,
2026-04-26T08:56:03.745121,200,221.13759270050517,Yes,
2026-04-26T08:56:03.745121,200,66.28839309549443,Yes,
2026-04-26T08:56:03.745121,200,575.0910002232778,Yes,
2026-04-26T08:56:03.745121,200,561.3226660494422,Yes,
2026-04-26T08:56:03.745121,200,271.4884170095563,Yes,
2026-04-26T08:56:03.745121,200,580.8122628032291,Yes,
2026-04-26T08:56:03.745121,200,678.8521257254431,Yes,
2026-04-26T08:56:03.745121,200,376.5564175220545,Yes,
2026-04-26T08:56:03.745121,200,265.50397692442573,Yes,
2026-04-26T08:56:03.745121,200,182.95864905522353,Yes,
2026-04-26T08:56:03.745121,200,724.1403218694609,Yes,
2026-04-26T08:56:03.745121,200,326.92351868178105,Yes,
2026-04-26T08:56:03.745121,504,1560.3372312760675,No,Connection timeout
2026-04-26T08:56:03.745121,200,62.349754260186224,Yes,
2026-04-26T08:56:03.745121,200,165.1733440878231,Yes,
2026-04-26T08:56:03.745121,200,376.25501339324194,Yes,
2026-04-26T08:56:03.745121,200,176.35939068921505,Yes,
2026-04-26T08:56:03.745121,200,555.9995224588824,Yes,
2026-04-26T08:56:03.745121,200,180.9047176648182,Yes,
2026-04-26T08:56:03.745121,200,767.4218089732225,Yes,
2026-04-26T08:56:03.745121,200,287.7555730414697,Yes,
2026-04-26T08:56:03.745121,200,598.7160508665721,Yes,
2026-04-26T08:56:03.745121,200,66.25342729091103,Yes,
2026-04-26T08:56:03.745121,200,427.61055608324864,Yes,
2026-04-26T08:56:03.745121,200,414.26366515227517,Yes,
2026-04-26T08:56:03.745121,200,298.3740068481327,Yes,
2026-04-26T08:56:03.745121,200,400.3852815827671,Yes,
2026-04-26T08:56:03.745121,503,320.43833602523364,No,Server error
2026-04-26T08:56:03.745121,200,433.4022937123185,Yes,
2026-04-26T08:56:03.745121,504,1506.8947630285572,No,Connection timeout
2026-04-26T08:56:03.745121,404,522.3339673658755,No,Server error
2026-04-26T08:56:03.745121,200,796.7602337890244,Yes,
2026-04-26T08:56:03.745121,200,255.83597147127563,Yes,
2026-04-26T08:56:03.745121,200,175.6001761136568,Yes,
2026-04-26T08:56:03.745121,200,418.73131844296944,Yes,
2026-04-26T08:56:03.745121,200,772.9627820062029,Yes,
